MapCode,SpeciesName,CohortAge,CohortBiomass
0,acerrubr,30,250
0,pinubank,80,1000
0,pinubank,90,2000
0,pinuresi,110,8000
0,pinuresi,140,8000
0,pinuresi,110,8000
0,pinuresi,140,8000
0,querelli,40,500
0,querelli,120,1000
1,pinubank,30,250
1,pinubank,50,500
1,querelli,10,250
1,querelli,40,500
1,querelli,70,1000
2,poputrem,10,250
2,poputrem,20,250
3,acerrubr,10,250
3,acerrubr,30,250
3,betualle,10,250
3,betualle,40,500
3,betupapy,80,1000
3,betupapy,90,1000
3,fraxamer,10,250
3,fraxamer,50,500
3,poputrem,90,1000
3,poputrem,100,1000
3,pinustro,240,3000
3,querrubr,20,250
3,querrubr,50,500
3,thujocci,60,500
3,tiliamer,10,250
4,abiebals,10,250
4,acerrubr,20,250
4,acerrubr,40,500
4,acersacc,10,250
4,acersacc,20,250
4,betualle,40,500
4,betualle,70,1000
4,betupapy,90,1000
4,fraxamer,30,250
4,fraxamer,40,500
4,fraxamer,60,500
4,poputrem,90,1000,
4,querrubr,40,500
4,querrubr,80,1000
4,thujocci,30,250
4,thujocci,80,1000
4,tiliamer,10,250
4,tiliamer,30,500
4,tiliamer,50,500
5,abiebals,10,250,
5,abiebals,60,500
5,abiebals,120,1000
5,acerrubr,90,1000
5,acerrubr,120,1000
5,acersacc,20,250
5,acersacc,50,500
5,acersacc,150,1000
5,acersacc,200,1000
5,betualle,40,500
5,betualle,140,1000
5,betualle,200,1000
5,fraxamer,10,250
5,fraxamer,100,1000
5,fraxamer,130,1000
5,fraxamer,180,1000
5,piceglau,180,1000
5,querrubr,100,1000
5,querrubr,160,1000
5,querrubr,180,1000
5,thujocci,200,1000
5,thujocci,240,1000
5,thujocci,260,1000
5,tiliamer,20,250
5,tiliamer,80,500
5,tiliamer,110,1000
5,tiliamer,150,1000
6,abiebals,10,250
6,abiebals,50,500
6,abiebals,80,500
6,piceglau,100,1000
6,piceglau,140,1000
6,piceglau,180,1000
6,piceglau,200,1000
6,piceglau,220,1000
6,pinuresi,140,1000
6,pinuresi,160,1000
6,pinuresi,180,1000
6,pinustro,200,1000
6,pinustro,280,1000
6,pinustro,350,1000